account_id,customer_age,days_dormant,account_status,account_label
ACC_N0254,40,0,ACTIVE,Normal
ACC_N3103,55,24, aCtive ,Normal
ACC_N2368,24,23, aCtive ,Normal
ACC_N1196,52,10,active,Normal
ACC_M058,32,443,ACTIVE,Dormant_Mule
ACC_N1969,22,19,active,Normal
ACC_N1070,61,13,Active,Normal
ACC_N2860,26,6,ACTIVE,Normal
ACC_N3360,19,7,Active,Normal
ACC_N1340,25,17,active,Normal
ACC_N1543,57,15, aCtive ,Normal
ACC_N2398,49,2,active,Normal
ACC_N0083,32,9,Active,Normal
ACC_N0810,49,29,ACTIVE,Normal
ACC_N0852,19,20,active,Normal
ACC_N0051,33,7,ACTIVE,Normal
ACC_N0631,58,1, aCtive ,Normal
ACC_N3028,46,6, aCtive ,Normal
ACC_N3188,40,22, aCtive ,Normal
ACC_N1953,22,12,ACTIVE,Normal
ACC_N0522,30,22,active,Normal
ACC_N2599,19,26,Inactive,Normal
ACC_A0217,20,680,ACTIVE,Legitimate_Awakening
ACC_N1607,47,9,active,Normal
ACC_N3151,150,5, aCtive ,Normal
ACC_N3493,22,29, aCtive ,Normal
ACC_A0375,50,315,active,Legitimate_Awakening
ACC_N1982,27,20,ACTIVE,Normal
ACC_N0097,52,17,Inactive,Normal
ACC_N0646,63,17, aCtive ,Normal
ACC_N2322,57,23,Active,Normal
ACC_N3356,29,2,Active,Normal
ACC_N3132,33,16,Active,Normal
ACC_A0322,30,331,ACTIVE,Legitimate_Awakening
ACC_N0941,29,28,ACTIVE,Normal
ACC_N2243,63,9, aCtive ,Normal
ACC_N0748,39,23,Active,Normal
ACC_N0642,22,15, aCtive ,Normal
ACC_N0743,55,27, aCtive ,Normal
ACC_N2004,62,12,inactive,Normal
ACC_A0040,49,385, aCtive ,Legitimate_Awakening
ACC_M009,64,463,active,Dormant_Mule
ACC_N2955,26,24,Active,Normal
ACC_N2239,46,6,Active,Normal
ACC_N2962,34,24,active,Normal
ACC_N2162,59,4,active,Normal
ACC_N2573,46,16,Active,Normal
ACC_N2173,37,0,INACTIVE,Normal
ACC_N1951,41,9, aCtive ,Normal
ACC_N3370,41,23,Inactive,Normal
ACC_N1704,35,3, aCtive ,Normal
ACC_N1325,34,27,Active,Normal
ACC_N0722,21,11,active,Normal
ACC_N3011,28,2,ACTIVE,Normal
ACC_N1827,150,23,Active,Normal
ACC_N3386,42,11,active,Normal
ACC_N1192,49,7,inactive,Normal
ACC_N2582,36,14,ACTIVE,Normal
ACC_N0619,24,23,ACTIVE,Normal
ACC_N0085,40,17,active,Normal
ACC_N0394,20,24,Inactive,Normal
ACC_N2337,50,0,Active,Normal
ACC_N3179,37,10,active,Normal
ACC_N0559,41,2, aCtive ,Normal
ACC_N2422,23,26,Active,Normal
ACC_A0191,36,301,Active,Legitimate_Awakening
ACC_N3104,43,15,active,Normal
ACC_N2405,42,26,active,Normal
ACC_N1931,37,4,ACTIVE,Normal
ACC_N1467,52,4,Active,Normal
ACC_A0037,20,471,ACTIVE,Legitimate_Awakening
ACC_N3305,47,19,Active,Normal
ACC_N1032,56,28,Active,Normal
ACC_N0067,42,27, aCtive ,Normal
ACC_N2879,35,21,Active,Normal
ACC_N1095,32,4,ACTIVE,Normal
ACC_N0658,58,8,Inactive,Normal
ACC_N0027,60,27, aCtive ,Normal
ACC_N2080,58,28,ACTIVE,Normal
ACC_N0611,63,26,active,Normal
ACC_N1929,19,29, aCtive ,Normal
ACC_N1009,47,16,ACTIVE,Normal
ACC_N2226,27,14,ACTIVE,Normal
ACC_N1398,53,23,active,Normal
ACC_N2248,46,26, aCtive ,Normal
ACC_A0130,37,597,active,Legitimate_Awakening
ACC_N1628,53,25, aCtive ,Normal
ACC_N2073,18,2, aCtive ,Normal
ACC_N3034,52,26,Active,Normal
ACC_N1884,30,21,ACTIVE,Normal
ACC_N1245,34,10,ACTIVE,Normal
ACC_N0849,44,14,Active,Normal
ACC_N0209,26,27,active,Normal
ACC_N2390,27,8,Active,Normal
ACC_N0554,51,7,ACTIVE,Normal
ACC_N0003,45,6,ACTIVE,Normal
ACC_N0687,21,22,Active,Normal
ACC_N1808,19,6,Active,Normal
ACC_N0933,58,1,Active,Normal
ACC_N1527,44,14,ACTIVE,Normal
ACC_N0371,44,1,Active,Normal
ACC_N2297,40,17,Active,Normal
ACC_N3258,18,26,active,Normal
ACC_N1699,23,17,Active,Normal
ACC_N0344,51,27,ACTIVE,Normal
ACC_N2420,64,0,active,Normal
ACC_N2235,37,13, aCtive ,Normal
ACC_N0191,29,7,ACTIVE,Normal
ACC_N2154,35,20,ACTIVE,Normal
ACC_N3013,32,27, aCtive ,Normal
ACC_N3313,55,22,ACTIVE,Normal
ACC_A0368,38,289, aCtive ,Legitimate_Awakening
ACC_N2887,25,9, aCtive ,Normal
ACC_N0990,32,13,ACTIVE,Normal
ACC_N3411,28,5,Active,Normal
ACC_A0076,46,414,Active,Legitimate_Awakening
ACC_N1539,29,10, aCtive ,Normal
ACC_N1635,40,0,active,Normal
ACC_N1584,61,10, aCtive ,Normal
ACC_N0946,51,20, aCtive ,Normal
ACC_N0947,55,16, aCtive ,Normal
ACC_N3448,58,2,Active,Normal
ACC_N2340,27,4,inactive,Normal
ACC_N3029,41,13,Active,Normal
ACC_N2738,31,13,Active,Normal
ACC_N2506,24,2, aCtive ,Normal
ACC_N1744,39,21,active,Normal
ACC_N2559,43,18,Inactive,Normal
ACC_A0041,21,402,ACTIVE,Legitimate_Awakening
ACC_A0321,39,556,ACTIVE,Legitimate_Awakening
ACC_N2990,25,20,ACTIVE,Normal
ACC_A0305,21,669, aCtive ,Legitimate_Awakening
ACC_N1892,22,3,ACTIVE,Normal
ACC_N2697,25,14, aCtive ,Normal
ACC_A0323,31,188,ACTIVE,Legitimate_Awakening
ACC_N0699,45,5,active,Normal
ACC_N3253,30,20,INACTIVE,Normal
ACC_N1847,43,24,ACTIVE,Normal
ACC_N2985,25,4,Active,Normal
ACC_N0855,39,12, aCtive ,Normal
ACC_N1758,35,14,Active,Normal
ACC_A0283,27,621,Active,Legitimate_Awakening
ACC_N2366,47,26,Active,Normal
ACC_N2147,62,2,Active,Normal
ACC_N1244,29,3,ACTIVE,Normal
ACC_N0951,40,7,ACTIVE,Normal
ACC_N0904,52,14, aCtive ,Normal
ACC_N0407,45,11, aCtive ,Normal
ACC_N0218,54,16, aCtive ,Normal
ACC_N3295,52,12,ACTIVE,Normal
ACC_N2040,38,20, aCtive ,Normal
ACC_N3015,42,8,Active,Normal
ACC_N0363,45,1,ACTIVE,Normal
ACC_N3479,38,14,INACTIVE,Normal
ACC_A0220,57,521,Active,Legitimate_Awakening
ACC_N0515,56,19, aCtive ,Normal
ACC_N0517,43,6,active,Normal
ACC_A0313,28,267, aCtive ,Legitimate_Awakening
ACC_N1315,42,18,active,Normal
ACC_N2875,46,25, aCtive ,Normal
ACC_N1500,50,12, aCtive ,Normal
ACC_A0246,19,401,ACTIVE,Legitimate_Awakening
ACC_N3410,45,20,ACTIVE,Normal
ACC_N0920,56,21,active,Normal
ACC_N1863,55,4,ACTIVE,Normal
ACC_N2436,24,11,Active,Normal
ACC_N2256,51,19,Active,Normal
ACC_N2331,20,4,active,Normal
ACC_N1242,24,8,Inactive,Normal
ACC_N0479,55,9,Active,Normal
ACC_N1320,50,27, aCtive ,Normal
ACC_N2199,19,27,inactive,Normal
ACC_N3402,40,2,ACTIVE,Normal
ACC_N2811,51,12,Active,Normal
ACC_N1484,27,6,Active,Normal
ACC_N3382,35,2,ACTIVE,Normal
ACC_N0503,34,23,Active,Normal
ACC_N1552,64,12,inactive,Normal
ACC_N0379,53,10,Inactive,Normal
ACC_N2926,62,3,ACTIVE,Normal
ACC_A0339,23,553, aCtive ,Legitimate_Awakening
ACC_A0053,25,348,Active,Legitimate_Awakening
ACC_N0280,37,20,ACTIVE,Normal
ACC_N1028,49,1,Active,Normal
ACC_N3055,58,26,Active,Normal
ACC_N2010,58,12, aCtive ,Normal
ACC_N1142,62,4,active,Normal
ACC_N3461,58,17,active,Normal
ACC_N2694,35,9,ACTIVE,Normal
ACC_A0326,18,349,active,Legitimate_Awakening
ACC_N0525,54,17,ACTIVE,Normal
ACC_A0225,62,201,active,Legitimate_Awakening
ACC_N0164,63,5, aCtive ,Normal
ACC_N2802,42,15,ACTIVE,Normal
ACC_N0158,54,0,active,Normal
ACC_N1521,61,13, aCtive ,Normal
ACC_N2172,46,20,active,Normal
ACC_N1237,43,12,Active,Normal
ACC_N2039,31,22,Inactive,Normal
ACC_N2519,150,3, aCtive ,Normal
ACC_N2138,50,4,Active,Normal
ACC_N3332,30,18,Active,Normal
ACC_N3296,56,14,ACTIVE,Normal
ACC_N3004,20,16,active,Normal
ACC_N0323,47,22,ACTIVE,Normal
ACC_N0513,22,6,active,Normal
ACC_N0079,50,20,Active,Normal
ACC_N1855,38,25,ACTIVE,Normal
ACC_N1997,40,28,active,Normal
ACC_N2471,32,7,active,Normal
ACC_N1211,37,8,ACTIVE,Normal
ACC_N3095,49,15, aCtive ,Normal
ACC_N0806,46,12,active,Normal
ACC_N0949,50,5,Active,Normal
ACC_N3314,55,8,active,Normal
ACC_N1822,41,3,Active,Normal
ACC_A0226,62,620,ACTIVE,Legitimate_Awakening
ACC_N0906,18,27,active,Normal
ACC_N2391,37,7,Active,Normal
ACC_N1994,63,29,Active,Normal
ACC_N0866,58,25,ACTIVE,Normal
ACC_N1258,32,25,active,Normal
ACC_N0508,26,8,active,Normal
ACC_N0262,49,27,ACTIVE,Normal
ACC_N3371,59,27,active,Normal
ACC_N0414,36,6,ACTIVE,Normal
ACC_N1988,30,1,active,Normal
ACC_N1767,57,25, aCtive ,Normal
ACC_N0104,37,8,active,Normal
ACC_N1765,38,27,Active,Normal
ACC_N1451,24,24,Active,Normal
ACC_N1049,40,12, aCtive ,Normal
ACC_N1285,19,1,active,Normal
ACC_N1603,64,1,Active,Normal
ACC_N0526,25,22,Active,Normal
ACC_N2265,39,23,active,Normal
ACC_N0383,25,22,ACTIVE,Normal
ACC_N1401,60,10,active,Normal
ACC_N1691,40,15,ACTIVE,Normal
ACC_N0528,57,19,inactive,Normal
ACC_N3303,37,11, aCtive ,Normal
ACC_N0269,20,17,inactive,Normal
ACC_A0266,36,670, aCtive ,Legitimate_Awakening
ACC_N1518,50,29,Active,Normal
ACC_N1471,30,7,Active,Normal
ACC_N3122,19,18,Active,Normal
ACC_N1658,22,7,ACTIVE,Normal
ACC_N1784,52,1,Active,Normal
ACC_N1662,33,14,INACTIVE,Normal
ACC_N1319,31,5,ACTIVE,Normal
ACC_N3049,37,28, aCtive ,Normal
ACC_N0867,37,23,ACTIVE,Normal
ACC_N0912,31,2,Inactive,Normal
ACC_N1158,53,19,active,Normal
ACC_N2233,37,25,active,Normal
ACC_N0908,58,13,Active,Normal
ACC_N1663,43,11,active,Normal
ACC_N0759,33,10,ACTIVE,Normal
ACC_N0111,63,23,ACTIVE,Normal
ACC_N3068,62,8,Active,Normal
ACC_N0988,59,13,active,Normal
ACC_N2981,46,21, aCtive ,Normal
ACC_N2182,41,10,ACTIVE,Normal
ACC_N0490,32,7,ACTIVE,Normal
ACC_N2129,38,25,ACTIVE,Normal
ACC_N1862,49,11,ACTIVE,Normal
ACC_N2347,37,16, aCtive ,Normal
ACC_N1600,63,7,Active,Normal
ACC_N2230,42,2,ACTIVE,Normal
ACC_N3393,47,5,active,Normal
ACC_N0364,59,25, aCtive ,Normal
ACC_N2993,25,22,ACTIVE,Normal
ACC_N2082,29,2,INACTIVE,Normal
ACC_N3043,33,8,ACTIVE,Normal
ACC_N3368,22,26,Active,Normal
ACC_N2598,20,2,INACTIVE,Normal
ACC_A0160,48,668,Active,Legitimate_Awakening
ACC_N3344,46,29, aCtive ,Normal
ACC_N2237,50,5,ACTIVE,Normal
ACC_N0830,50,9,ACTIVE,Normal
ACC_N2177,52,6, aCtive ,Normal
ACC_N0155,49,1,active,Normal
ACC_N2238,38,16,active,Normal
ACC_N2833,51,15,Inactive,Normal
ACC_N1001,20,25,ACTIVE,Normal
ACC_A0358,44,634,Active,Legitimate_Awakening
ACC_A0124,59,336,ACTIVE,Legitimate_Awakening
ACC_N3046,26,7, aCtive ,Normal
ACC_N3492,45,5,INACTIVE,Normal
ACC_N2329,47,24,active,Normal
ACC_N2244,29,19,Active,Normal
ACC_N0397,58,21,active,Normal
ACC_N2495,25,3,active,Normal
ACC_A0336,34,300, aCtive ,Legitimate_Awakening
ACC_N1426,24,0,active,Normal
ACC_N1680,43,13,Active,Normal
ACC_N1069,60,26,Active,Normal
ACC_N2505,38,29,active,Normal
ACC_N0875,50,0,ACTIVE,Normal
ACC_N0815,34,23,active,Normal
ACC_M047,60,477,Active,Dormant_Mule
ACC_N2400,26,23,Active,Normal
ACC_N0903,40,7, aCtive ,Normal
ACC_N2964,62,13,active,Normal
ACC_N1778,60,10,inactive,Normal
ACC_A0224,49,593,active,Legitimate_Awakening
ACC_N1248,57,11, aCtive ,Normal
ACC_N0886,43,15,Active,Normal
ACC_N1317,59,10, aCtive ,Normal
ACC_N3477,22,20,ACTIVE,Normal
ACC_M029,35,513,active,Dormant_Mule
ACC_N0071,24,0,Active,Normal
ACC_N1963,19,1, aCtive ,Normal
ACC_N0076,57,9,Active,Normal
ACC_N1346,54,24,inactive,Normal
ACC_N3463,62,27,ACTIVE,Normal
ACC_N2252,22,16,active,Normal
ACC_N0600,27,26, aCtive ,Normal
ACC_N0229,40,23,Active,Normal
ACC_N3355,44,14,active,Normal
ACC_N1883,59,6,active,Normal
ACC_N1874,40,4,Active,Normal
ACC_N2823,46,20,inactive,Normal
ACC_N3219,51,18,active,Normal
ACC_N2521,36,17,active,Normal
ACC_N2052,33,29, aCtive ,Normal
ACC_N1368,57,29,active,Normal
ACC_M054,28,604, aCtive ,Dormant_Mule
ACC_N1754,49,25,active,Normal
ACC_N3141,62,6,ACTIVE,Normal
ACC_N0195,31,8,ACTIVE,Normal
ACC_N2003,58,1, aCtive ,Normal
ACC_N1252,28,19, aCtive ,Normal
ACC_N2561,52,9,ACTIVE,Normal
ACC_N0128,50,8,active,Normal
ACC_N1638,27,24, aCtive ,Normal
ACC_N0135,26,21,Active,Normal
ACC_N2932,41,29,active,Normal
ACC_N2587,34,0,active,Normal
ACC_N2152,61,28,ACTIVE,Normal
ACC_N2273,60,29,INACTIVE,Normal
ACC_N0752,28,28,active,Normal
ACC_N3243,22,23, aCtive ,Normal
ACC_N2547,27,10, aCtive ,Normal
ACC_A0149,20,652, aCtive ,Legitimate_Awakening
ACC_A0291,60,539,ACTIVE,Legitimate_Awakening
ACC_N3158,44,0, aCtive ,Normal
ACC_N0883,33,2,ACTIVE,Normal
ACC_N1890,28,8,Active,Normal
ACC_N2972,41,4,INACTIVE,Normal
ACC_N0732,57,5,active,Normal
ACC_N1789,47,27,Active,Normal
ACC_N3439,56,8,ACTIVE,Normal
ACC_N0120,20,4,active,Normal
ACC_N2632,61,0,ACTIVE,Normal
ACC_N1419,37,4,ACTIVE,Normal
ACC_N3359,38,25,ACTIVE,Normal
ACC_N1344,33,3,Active,Normal
ACC_N1306,46,9,Active,Normal
ACC_N1734,27,2,ACTIVE,Normal
ACC_N1538,61,19, aCtive ,Normal
ACC_A0194,25,293,Active,Legitimate_Awakening
ACC_N0041,58,24, aCtive ,Normal
ACC_A0265,43,600, aCtive ,Legitimate_Awakening
ACC_N2262,35,11,ACTIVE,Normal
ACC_N0452,63,0, aCtive ,Normal
ACC_N1788,57,25, aCtive ,Normal
ACC_N0839,33,15, aCtive ,Normal
ACC_N3440,41,27,ACTIVE,Normal
ACC_N0777,36,26,ACTIVE,Normal
ACC_N0434,18,12,Active,Normal
ACC_N0650,42,9,Active,Normal
ACC_N3466,60,29, aCtive ,Normal
ACC_N2451,47,4,ACTIVE,Normal
ACC_N1915,34,15,ACTIVE,Normal
ACC_N0499,42,19, aCtive ,Normal
ACC_N0720,40,6,Active,Normal
ACC_N2485,57,20,ACTIVE,Normal
ACC_N3495,31,5,Active,Normal
ACC_N1630,41,25, aCtive ,Normal
ACC_N0624,49,9,ACTIVE,Normal
ACC_N0632,57,9, aCtive ,Normal
ACC_N2503,27,12,active,Normal
ACC_N1335,51,24, aCtive ,Normal
ACC_N2161,47,6, aCtive ,Normal
ACC_A0190,33,378, aCtive ,Legitimate_Awakening
ACC_N1149,26,19,ACTIVE,Normal
ACC_N3203,60,23, aCtive ,Normal
ACC_N0827,49,10, aCtive ,Normal
ACC_N1259,58,18,active,Normal
ACC_N0457,23,18,ACTIVE,Normal
ACC_N2365,19,28,active,Normal
ACC_N2718,30,10, aCtive ,Normal
ACC_N0576,30,29,ACTIVE,Normal
ACC_N1835,62,0,active,Normal
ACC_N0697,48,5, aCtive ,Normal
ACC_N3037,47,18,Active,Normal
ACC_N2281,63,5,active,Normal
ACC_N0106,33,29,ACTIVE,Normal
ACC_N3207,23,1,active,Normal
ACC_N2912,36,0,active,Normal
ACC_N0507,33,29,active,Normal
ACC_N0431,57,19,Active,Normal
ACC_N1696,38,18,ACTIVE,Normal
ACC_N1071,32,4,ACTIVE,Normal
ACC_N0604,59,21,ACTIVE,Normal
ACC_N1923,150,19,INACTIVE,Normal
ACC_N1316,41,29,ACTIVE,Normal
ACC_N3111,19,8,ACTIVE,Normal
ACC_N3044,58,16,Active,Normal
ACC_N0401,27,22, aCtive ,Normal
ACC_N3166,36,22, aCtive ,Normal
ACC_N3269,54,2,active,Normal
ACC_N1562,150,10, aCtive ,Normal
ACC_N1464,53,0, aCtive ,Normal
ACC_N0177,49,16,Active,Normal
ACC_N2729,27,11,ACTIVE,Normal
ACC_N0537,50,12, aCtive ,Normal
ACC_N1633,37,21, aCtive ,Normal
ACC_N2592,32,8,Active,Normal
ACC_N0267,24,5, aCtive ,Normal
ACC_N0358,150,7, aCtive ,Normal
ACC_N2356,62,6,Active,Normal
ACC_N1798,49,15,active,Normal
ACC_A0022,43,681,active,Legitimate_Awakening
ACC_N2769,56,26, aCtive ,Normal
ACC_N1370,19,8, aCtive ,Normal
ACC_N2987,24,19,ACTIVE,Normal
ACC_N3415,46,3, aCtive ,Normal
ACC_N0698,53,11,ACTIVE,Normal
ACC_N0535,44,2,active,Normal
ACC_N3000,34,5, aCtive ,Normal
ACC_N2477,60,13, aCtive ,Normal
ACC_N1267,45,28,Active,Normal
ACC_N2031,28,0, aCtive ,Normal
ACC_N0812,30,28,active,Normal
ACC_N2997,59,21, aCtive ,Normal
ACC_N1495,45,25,ACTIVE,Normal
ACC_N3213,60,17, aCtive ,Normal
ACC_N1465,18,25,ACTIVE,Normal
ACC_N1005,40,11,Active,Normal
ACC_N1025,34,13,INACTIVE,Normal
ACC_N1128,18,18,Active,Normal
ACC_N1166,22,1,Active,Normal
ACC_N1743,47,7, aCtive ,Normal
ACC_N1114,56,24,ACTIVE,Normal
ACC_N3338,24,7, aCtive ,Normal
ACC_A0381,63,472,ACTIVE,Legitimate_Awakening
ACC_N2036,60,29,Active,Normal
ACC_N2120,31,26,active,Normal
ACC_N0588,24,17, aCtive ,Normal
ACC_N2121,56,8,active,Normal
ACC_N2119,19,7,ACTIVE,Normal
ACC_N2299,56,4, aCtive ,Normal
ACC_N3397,40,16,active,Normal
ACC_N1837,56,15,active,Normal
ACC_N3109,28,13, aCtive ,Normal
ACC_A0192,25,433,active,Legitimate_Awakening
ACC_A0158,26,680, aCtive ,Legitimate_Awakening
ACC_A0386,49,443,active,Legitimate_Awakening
ACC_N0637,56,19,Active,Normal
ACC_N0898,49,9, aCtive ,Normal
ACC_N2660,27,1,Active,Normal
ACC_N1650,61,5,Active,Normal
ACC_N0540,50,28,active,Normal
ACC_N2736,37,15,ACTIVE,Normal
ACC_N2797,23,3,Active,Normal
ACC_N0327,43,7,Active,Normal
ACC_N1433,24,7,Active,Normal
ACC_N1336,59,28,ACTIVE,Normal
ACC_N0690,20,17,ACTIVE,Normal
ACC_N0757,43,4,Active,Normal
ACC_A0282,39,341,ACTIVE,Legitimate_Awakening
ACC_N2545,56,2,ACTIVE,Normal
ACC_A0095,26,665,ACTIVE,Legitimate_Awakening
ACC_N1468,27,2, aCtive ,Normal
ACC_N3465,61,11,Active,Normal
ACC_A0286,29,247,ACTIVE,Legitimate_Awakening
ACC_N2448,59,16, aCtive ,Normal
ACC_N3412,24,22,active,Normal
ACC_A0182,48,361,active,Legitimate_Awakening
ACC_N2621,25,28,ACTIVE,Normal
ACC_N0964,33,19,Active,Normal
ACC_N0228,22,15,Inactive,Normal
ACC_N0916,55,6,active,Normal
ACC_N0232,35,17,Active,Normal
ACC_N2454,40,7,Active,Normal
ACC_N2850,27,16,active,Normal
ACC_N0044,62,7, aCtive ,Normal
ACC_A0356,57,285, aCtive ,Legitimate_Awakening
ACC_A0165,61,613,ACTIVE,Legitimate_Awakening
ACC_N1802,26,22,Active,Normal
ACC_N0603,53,4,ACTIVE,Normal
ACC_N2404,18,17,Active,Normal
ACC_N3341,48,25,active,Normal
ACC_N3075,26,0,Active,Normal
ACC_N2611,43,1,Active,Normal
ACC_N3003,23,4,active,Normal
ACC_N1024,45,20, aCtive ,Normal
ACC_N1987,53,6,active,Normal
ACC_N0428,44,19,Active,Normal
ACC_N0808,19,4,active,Normal
ACC_A0045,30,389,Active,Legitimate_Awakening
ACC_N2712,28,13, aCtive ,Normal
ACC_N1694,56,12, aCtive ,Normal
ACC_N2900,56,26,Active,Normal
ACC_N2929,37,16, aCtive ,Normal
ACC_N0443,46,11,INACTIVE,Normal
ACC_A0229,42,387, aCtive ,Legitimate_Awakening
ACC_N1657,35,8,ACTIVE,Normal
ACC_N0985,45,26, aCtive ,Normal
ACC_A0296,55,414,ACTIVE,Legitimate_Awakening
ACC_A0125,39,403,active,Legitimate_Awakening
ACC_N2321,41,5, aCtive ,Normal
ACC_N0408,45,5, aCtive ,Normal
ACC_N1761,27,11, aCtive ,Normal
ACC_N1240,45,10,active,Normal
ACC_N1272,45,0,active,Normal
ACC_A0275,53,505,ACTIVE,Legitimate_Awakening
ACC_N0034,27,6,Active,Normal
ACC_N2986,27,25,INACTIVE,Normal
ACC_N2012,18,9, aCtive ,Normal
ACC_N3149,43,1,ACTIVE,Normal
ACC_N0290,30,5, aCtive ,Normal
ACC_N2085,59,1, aCtive ,Normal
ACC_A0208,19,209,active,Legitimate_Awakening
ACC_N1859,39,0,Active,Normal
ACC_M031,32,720, aCtive ,Dormant_Mule
ACC_N2428,61,15,active,Normal
ACC_N1394,57,21,ACTIVE,Normal
ACC_N2065,50,7, aCtive ,Normal
ACC_N1314,150,23,ACTIVE,Normal
ACC_N2558,57,20,active,Normal
ACC_N2068,29,5,INACTIVE,Normal
ACC_N1395,24,26,active,Normal
ACC_N0307,48,21,active,Normal
ACC_A0365,34,246,active,Legitimate_Awakening
ACC_N1875,41,2,Active,Normal
ACC_N1785,56,26,ACTIVE,Normal
ACC_N3424,31,3,Active,Normal
ACC_N3419,150,0,ACTIVE,Normal
ACC_N0219,32,28, aCtive ,Normal
ACC_N1750,41,14, aCtive ,Normal
ACC_N0674,44,3,ACTIVE,Normal
ACC_N3231,19,22, aCtive ,Normal
ACC_N0681,57,19, aCtive ,Normal
ACC_A0252,18,589, aCtive ,Legitimate_Awakening
ACC_A0199,32,606,Active,Legitimate_Awakening
ACC_N1446,42,6,Inactive,Normal
ACC_N1935,40,11,active,Normal
ACC_A0132,36,571,ACTIVE,Legitimate_Awakening
ACC_N1173,40,10, aCtive ,Normal
ACC_N0212,51,4,ACTIVE,Normal
ACC_N3140,41,23,active,Normal
ACC_N1423,64,17,active,Normal
ACC_N1277,56,14, aCtive ,Normal
ACC_N2817,46,28,active,Normal
ACC_N0980,20,15, aCtive ,Normal
ACC_N1944,24,16,active,Normal
ACC_N2089,32,8,active,Normal
ACC_N2863,50,1, aCtive ,Normal
ACC_N0424,48,13,active,Normal
ACC_N1986,62,9,active,Normal
ACC_N3204,41,11,active,Normal
ACC_N0583,28,17,ACTIVE,Normal
ACC_N2966,18,20,Active,Normal
ACC_N1682,31,0,ACTIVE,Normal
ACC_A0116,42,632,active,Legitimate_Awakening
ACC_N2904,27,3,Active,Normal
ACC_A0055,23,687,ACTIVE,Legitimate_Awakening
ACC_A0328,29,397,ACTIVE,Legitimate_Awakening
ACC_N2476,29,29,ACTIVE,Normal
ACC_A0166,29,621, aCtive ,Legitimate_Awakening
ACC_N2556,55,3,active,Normal
ACC_N0316,36,10,inactive,Normal
ACC_N1102,45,13,inactive,Normal
ACC_N2755,63,5,active,Normal
ACC_N1269,40,0,Active,Normal
ACC_N0582,60,21,ACTIVE,Normal
ACC_N2200,23,1,active,Normal
ACC_N3246,37,28,ACTIVE,Normal
ACC_N1061,150,16,active,Normal
ACC_N2259,26,1,ACTIVE,Normal
ACC_N0915,44,15,active,Normal
ACC_N3064,34,8,Active,Normal
ACC_N0648,52,5,ACTIVE,Normal
ACC_N3498,47,13,active,Normal
ACC_N2708,19,27,Active,Normal
