days_dormant,incoming_amount_thb,outflow_ratio_24h,dwell_time_mins,label,account_id
350,20647.09,0.48,1391.8,Legitimate_Awakening,ACC009829
15,7177.9,0.498,893.9,Normal,ACC006200
16,18530.57,0.369,1276.9,Normal,ACC005497
314,24086.0,0.648,2023.6,Legitimate_Awakening,ACC009129
29,11647.81,0.569,130.0,Normal,ACC004528
2,16061.3,0.282,331.1,Normal,ACC006920
6,11496.86,0.302,766.8,Normal,ACC006416
665,44045.14,0.459,2573.9,Legitimate_Awakening,ACC009122
4,12496.78,0.253,943.5,Normal,ACC000490
10,5558.76,0.29,899.2,Normal,ACC000257
6,10118.98,0.102,781.5,Normal,ACC001764
7,11768.88,0.552,1199.0,Normal,ACC001058
29,12338.1,0.23,1079.9,Normal,ACC007245
2,8385.11,0.181,1045.1,Normal,ACC002605
13,9569.91,0.585,1015.7,Normal,ACC003091
21,13278.86,0.344,300.7,Normal,ACC004272
11,15213.43,0.44,1373.9,Normal,ACC007690
27,9264.12,0.175,1225.6,Normal,ACC007243
328,54351.59,0.554,303.7,Legitimate_Awakening,ACC009762
28,12447.34,0.393,842.9,Normal,ACC002130
8,19499.19,0.109,1370.9,Normal,ACC003680
23,19908.03,0.575,910.0,Normal,ACC005500
21,16841.69,0.341,1309.6,Normal,ACC008405
15,19911.93,0.111,269.0,Normal,ACC002126
350,50456.33,0.639,562.9,Legitimate_Awakening,ACC009216
7,8918.48,0.417,459.2,Normal,ACC003330
3,2999.67,0.313,446.3,Normal,ACC002194
28,841.22,0.125,876.1,Normal,ACC001596
27,7012.96,0.255,491.8,Normal,ACC007847
13,11072.08,0.483,639.1,Normal,ACC007316
5,18595.65,0.228,604.8,Normal,ACC007200
28,13517.19,0.281,839.2,Normal,ACC004520
12,7777.88,0.547,392.0,Normal,ACC007277
22,7940.7,0.47,948.6,Normal,ACC003259
239,30550.14,0.516,806.5,Legitimate_Awakening,ACC008913
0,12424.87,0.22,1265.0,Normal,ACC004114
23,1475.7,0.135,1179.5,Normal,ACC002650
7,10719.75,0.381,1085.9,Normal,ACC005432
7,14318.76,0.352,875.4,Normal,ACC006723
15,8501.77,0.339,987.2,Normal,ACC006719
4,14534.04,0.147,956.6,Normal,ACC002658
22,3393.51,0.418,1373.3,Normal,ACC003313
20,1558.53,0.462,274.0,Normal,ACC008108
27,2796.91,0.131,628.1,Normal,ACC008832
6,12402.89,0.575,643.6,Normal,ACC000274
29,3413.92,0.39,993.5,Normal,ACC003548
15,15584.01,0.59,750.8,Normal,ACC000690
29,2063.54,0.573,221.6,Normal,ACC008100
306,45248.79,0.345,897.9,Legitimate_Awakening,ACC009531
21,5910.56,0.241,1391.6,Normal,ACC001049
657,17273.18,0.315,1579.7,Legitimate_Awakening,ACC008889
9,8049.58,0.45,890.3,Normal,ACC006924
10,1697.15,0.509,404.9,Normal,ACC007793
3,952.13,0.513,1230.0,Normal,ACC008153
25,6915.84,0.335,1102.4,Normal,ACC000375
1,16975.82,0.265,236.1,Normal,ACC003384
11,15679.2,0.372,1218.7,Normal,ACC003677
19,11201.09,0.333,1077.2,Normal,ACC006482
238,56040.9,0.514,1074.3,Legitimate_Awakening,ACC008871
3,14508.61,0.385,740.0,Normal,ACC006151
4,3055.23,0.272,1012.0,Normal,ACC004191
7,6283.94,0.139,344.3,Normal,ACC001244
4,16298.69,0.287,1045.6,Normal,ACC007051
29,14011.72,0.467,1434.0,Normal,ACC001514
863,108328.56,0.973,43.0,Dormant_Mule,ACC009935
25,18808.4,0.49,1336.0,Normal,ACC003775
21,12182.44,0.144,196.8,Normal,ACC002795
0,4392.8,0.234,700.8,Normal,ACC007014
11,2403.37,0.513,1229.2,Normal,ACC007993
18,13044.82,0.215,328.2,Normal,ACC004717
3,15607.08,0.476,1309.7,Normal,ACC006142
8,10280.5,0.281,345.4,Normal,ACC003715
15,13946.87,0.539,503.3,Normal,ACC001720
615,25911.88,0.597,696.4,Legitimate_Awakening,ACC009538
25,9747.63,0.272,584.0,Normal,ACC000278
10,18369.12,0.303,1014.1,Normal,ACC004254
1,7665.46,0.354,427.1,Normal,ACC006069
29,7844.48,0.387,155.9,Normal,ACC003717
12,5161.2,0.228,525.4,Normal,ACC005186
464,15786.29,0.673,863.2,Legitimate_Awakening,ACC009384
11,18015.31,0.426,758.4,Normal,ACC006865
0,1216.2,0.499,302.1,Normal,ACC005404
20,927.57,0.323,1424.7,Normal,ACC006691
12,16691.35,0.521,867.6,Normal,ACC005027
26,14994.65,0.28,1238.0,Normal,ACC005293
2,10978.03,0.322,957.5,Normal,ACC003690
18,15648.78,0.494,1054.6,Normal,ACC002938
28,13074.69,0.287,1375.2,Normal,ACC002304
378,29157.48,0.405,525.5,Legitimate_Awakening,ACC009215
4,13455.67,0.353,1210.1,Normal,ACC005923
23,4705.14,0.45,1137.7,Normal,ACC007155
15,12138.61,0.564,1346.5,Normal,ACC000973
18,9970.76,0.166,257.5,Normal,ACC007967
26,2870.87,0.101,1331.3,Normal,ACC005722
22,13105.4,0.208,1081.8,Normal,ACC003476
24,6404.09,0.2,836.2,Normal,ACC004598
29,15720.18,0.478,920.9,Normal,ACC002519
7,3653.4,0.284,679.6,Normal,ACC002962
8,9357.18,0.532,1330.4,Normal,ACC001991
15,13055.02,0.158,613.3,Normal,ACC005254
2,549.03,0.355,1339.5,Normal,ACC007306
15,2342.44,0.47,1175.1,Normal,ACC006008
5,18137.83,0.501,441.3,Normal,ACC007930
17,19639.66,0.507,535.5,Normal,ACC005517
13,16197.79,0.11,1216.5,Normal,ACC002522
16,1196.84,0.363,459.2,Normal,ACC008578
26,5726.92,0.506,193.1,Normal,ACC001830
15,18842.48,0.265,175.7,Normal,ACC002080
23,19393.03,0.552,795.8,Normal,ACC006035
16,11419.3,0.395,1403.1,Normal,ACC003865
20,10781.67,0.553,336.3,Normal,ACC000778
8,19237.28,0.302,153.4,Normal,ACC005800
8,1608.36,0.459,886.9,Normal,ACC005363
6,10568.16,0.148,1101.8,Normal,ACC005862
16,16781.35,0.34,1280.6,Normal,ACC006371
11,16412.21,0.255,679.0,Normal,ACC007814
7,11036.11,0.303,1224.5,Normal,ACC008381
676,43622.8,0.328,1182.9,Legitimate_Awakening,ACC009472
26,13682.51,0.453,925.2,Normal,ACC000869
29,14186.53,0.383,896.1,Normal,ACC005692
8,14198.44,0.28,507.5,Normal,ACC000076
7,12424.08,0.15,643.5,Normal,ACC003626
369,18442.95,0.597,499.0,Legitimate_Awakening,ACC009256
20,11504.65,0.528,1300.8,Normal,ACC004747
28,10387.43,0.109,636.9,Normal,ACC004982
12,9128.93,0.347,532.0,Normal,ACC003051
196,23346.99,0.648,2247.3,Legitimate_Awakening,ACC009237
3,5660.67,0.456,252.0,Normal,ACC002179
16,4623.24,0.264,278.1,Normal,ACC000182
16,16377.11,0.484,1179.9,Normal,ACC003898
23,17337.14,0.262,732.2,Normal,ACC003416
22,14033.56,0.576,509.8,Normal,ACC004963
15,2523.11,0.272,1104.6,Normal,ACC003940
23,10521.46,0.117,982.3,Normal,ACC004449
11,16816.55,0.132,1291.3,Normal,ACC007067
22,16397.89,0.547,1207.2,Normal,ACC001176
12,18705.77,0.255,595.8,Normal,ACC005996
19,6330.67,0.206,1377.3,Normal,ACC008230
24,16648.28,0.208,1188.3,Normal,ACC000903
20,2814.11,0.114,269.0,Normal,ACC003425
12,13407.72,0.463,1145.4,Normal,ACC007711
21,4766.49,0.361,325.1,Normal,ACC002492
24,5214.31,0.297,235.1,Normal,ACC008439
483,58801.59,0.32,1069.6,Legitimate_Awakening,ACC009794
21,15124.1,0.503,300.6,Normal,ACC001431
17,11121.58,0.263,1260.1,Normal,ACC008292
14,2125.86,0.519,929.2,Normal,ACC003600
13,513.16,0.283,1333.2,Normal,ACC007556
5,15865.42,0.448,374.9,Normal,ACC005021
22,8388.13,0.377,1358.2,Normal,ACC003791
7,1023.53,0.454,633.1,Normal,ACC003897
276,51068.61,0.382,1309.6,Legitimate_Awakening,ACC009204
11,14624.72,0.473,856.5,Normal,ACC000949
11,1370.89,0.255,505.8,Normal,ACC002237
16,15105.48,0.236,275.1,Normal,ACC001867
6,1359.28,0.193,834.5,Normal,ACC001242
14,9328.98,0.222,1278.1,Normal,ACC002849
21,15372.78,0.117,721.0,Normal,ACC005940
13,1334.27,0.6,600.4,Normal,ACC004092
3,8521.25,0.222,290.5,Normal,ACC003827
29,549.17,0.288,267.3,Normal,ACC005764
607,31989.57,0.384,514.1,Legitimate_Awakening,ACC009802
20,9698.93,0.377,872.8,Normal,ACC001268
347,40319.77,0.515,1204.8,Legitimate_Awakening,ACC009382
6,13730.58,0.262,1423.8,Normal,ACC001220
9,15786.37,0.549,699.2,Normal,ACC003743
29,9446.4,0.237,1420.8,Normal,ACC004088
17,5005.01,0.529,735.6,Normal,ACC006900
27,3614.51,0.228,785.4,Normal,ACC007940
6,19678.65,0.435,1260.2,Normal,ACC007018
13,12262.35,0.503,1390.7,Normal,ACC000252
27,14622.01,0.235,836.0,Normal,ACC005023
29,12051.95,0.512,579.1,Normal,ACC000323
8,909.38,0.178,1151.5,Normal,ACC005060
215,32160.22,0.487,1070.0,Legitimate_Awakening,ACC009229
14,3676.6,0.506,1246.5,Normal,ACC002052
15,14790.25,0.595,660.2,Normal,ACC007674
7,5351.3,0.249,1245.3,Normal,ACC007266
9,16905.51,0.439,1041.1,Normal,ACC004135
226,16333.52,0.576,1479.5,Legitimate_Awakening,ACC009126
14,6213.1,0.347,175.4,Normal,ACC006949
2,4440.64,0.545,1323.4,Normal,ACC004800
18,18405.07,0.379,456.8,Normal,ACC007755
10,9339.34,0.463,246.1,Normal,ACC003409
5,17083.83,0.173,159.3,Normal,ACC003841
1,15896.71,0.254,1130.6,Normal,ACC007308
23,2459.65,0.469,1052.1,Normal,ACC003570
7,13323.82,0.598,1266.7,Normal,ACC006631
7,8308.85,0.484,1265.0,Normal,ACC007431
28,3215.45,0.105,838.4,Normal,ACC001326
7,3805.02,0.1,1267.3,Normal,ACC006434
9,11747.75,0.16,168.1,Normal,ACC001440
18,12555.95,0.268,985.6,Normal,ACC000106
1,8492.67,0.226,648.9,Normal,ACC004488
24,10924.95,0.544,799.5,Normal,ACC005181
23,11434.49,0.229,216.3,Normal,ACC004481
26,11277.04,0.421,667.3,Normal,ACC004551
15,10584.96,0.504,985.4,Normal,ACC008424
15,605.4,0.101,619.1,Normal,ACC001153
611,17352.0,0.554,1982.7,Legitimate_Awakening,ACC009058
256,48756.56,0.663,1429.9,Legitimate_Awakening,ACC009447
22,1437.15,0.575,1290.4,Normal,ACC000098
9,3333.19,0.332,1142.8,Normal,ACC003498
7,18453.91,0.458,1093.0,Normal,ACC005113
25,17874.92,0.507,1063.7,Normal,ACC001652
186,23636.8,0.399,2310.7,Legitimate_Awakening,ACC008950
5,10063.86,0.229,1288.1,Normal,ACC002235
3,8857.75,0.505,237.0,Normal,ACC004949
16,14752.43,0.493,919.2,Normal,ACC006912
22,12686.37,0.148,1376.3,Normal,ACC002545
20,8016.87,0.393,644.2,Normal,ACC007461
20,16919.15,0.338,1068.1,Normal,ACC004423
699,301911.65,0.976,23.2,Dormant_Mule,ACC009996
358,43931.17,0.537,767.2,Legitimate_Awakening,ACC009782
9,1486.73,0.546,419.7,Normal,ACC004337
0,3165.55,0.376,919.1,Normal,ACC003529
26,16946.84,0.481,197.0,Normal,ACC002644
20,3542.36,0.178,196.7,Normal,ACC000002
14,7078.93,0.366,1040.5,Normal,ACC006676
0,19507.37,0.424,690.9,Normal,ACC006313
24,18331.59,0.11,1390.3,Normal,ACC002741
6,5273.23,0.135,559.3,Normal,ACC008844
20,2785.48,0.269,308.6,Normal,ACC000921
2,13519.64,0.113,617.3,Normal,ACC003404
4,2586.33,0.46,1248.0,Normal,ACC002209
26,13954.83,0.535,1171.9,Normal,ACC003800
14,12161.18,0.293,1248.3,Normal,ACC001237
1,13205.94,0.129,149.6,Normal,ACC008113
1,13202.88,0.147,1037.8,Normal,ACC006473
10,3483.42,0.335,1032.0,Normal,ACC005680
9,16559.27,0.51,750.1,Normal,ACC001080
11,15112.46,0.481,1304.9,Normal,ACC007746
25,13749.36,0.214,462.4,Normal,ACC007065
27,17035.72,0.389,471.4,Normal,ACC006612
4,15553.53,0.518,1182.0,Normal,ACC007140
28,579.98,0.271,1398.9,Normal,ACC003704
2,17930.24,0.549,261.4,Normal,ACC005949
5,2736.53,0.288,1101.8,Normal,ACC006318
190,44858.16,0.352,908.7,Legitimate_Awakening,ACC009048
17,16852.26,0.471,1348.7,Normal,ACC005016
632,23243.89,0.55,2803.2,Legitimate_Awakening,ACC008984
11,6000.81,0.144,1401.2,Normal,ACC005931
13,17871.72,0.594,501.4,Normal,ACC004553
24,10840.89,0.121,1398.4,Normal,ACC000517
6,5978.74,0.458,1289.4,Normal,ACC006206
25,4321.61,0.572,1409.0,Normal,ACC001729
14,2257.71,0.203,1137.8,Normal,ACC006498
21,2988.25,0.188,340.7,Normal,ACC005036
16,10232.62,0.155,634.2,Normal,ACC001750
17,19131.18,0.101,1232.4,Normal,ACC006197
29,3510.07,0.341,823.0,Normal,ACC000198
535,19281.43,0.549,846.3,Legitimate_Awakening,ACC009156
2,1106.35,0.331,730.8,Normal,ACC003180
1,9009.52,0.308,1292.4,Normal,ACC005711
17,4368.9,0.466,930.6,Normal,ACC003616
25,15682.0,0.467,878.4,Normal,ACC002796
25,1408.09,0.253,1012.0,Normal,ACC008267
26,14864.81,0.329,871.5,Normal,ACC003107
14,11701.52,0.169,1029.2,Normal,ACC001079
1,9927.65,0.445,1376.0,Normal,ACC005560
27,1133.39,0.51,484.0,Normal,ACC003696
5,12181.89,0.221,552.5,Normal,ACC005665
689,44839.06,0.471,2741.5,Legitimate_Awakening,ACC009295
10,4028.98,0.484,1396.7,Normal,ACC008796
2,1804.62,0.133,138.2,Normal,ACC008733
8,15185.44,0.229,529.5,Normal,ACC007247
26,6394.96,0.44,425.7,Normal,ACC008788
16,14817.44,0.128,1292.0,Normal,ACC002102
4,17093.72,0.457,867.7,Normal,ACC008410
12,2652.99,0.31,537.8,Normal,ACC002400
26,5975.84,0.4,1310.6,Normal,ACC008460
9,13536.97,0.254,396.5,Normal,ACC006762
9,3988.14,0.425,1238.0,Normal,ACC005769
18,5415.89,0.574,830.5,Normal,ACC005338
0,6528.12,0.444,871.3,Normal,ACC005207
554,44298.97,0.301,2474.1,Legitimate_Awakening,ACC009691
7,6492.23,0.367,297.3,Normal,ACC004164
29,14663.11,0.338,138.5,Normal,ACC006174
21,9915.28,0.53,769.9,Normal,ACC005105
28,6149.5,0.216,1339.1,Normal,ACC004207
2,14966.7,0.441,1241.9,Normal,ACC006413
26,16229.97,0.529,1436.9,Normal,ACC000964
21,2506.65,0.465,631.2,Normal,ACC001819
11,14973.94,0.185,377.4,Normal,ACC000943
13,5812.4,0.217,257.2,Normal,ACC005541
17,15943.32,0.471,748.8,Normal,ACC003596
5,11348.0,0.238,934.8,Normal,ACC006268
28,8038.01,0.246,421.8,Normal,ACC008312
10,19776.23,0.437,1114.6,Normal,ACC004658
26,18172.78,0.156,701.2,Normal,ACC004852
447,45206.28,0.473,448.8,Legitimate_Awakening,ACC009704
10,7940.73,0.353,474.7,Normal,ACC003699
1,2694.81,0.44,463.6,Normal,ACC003688
5,4306.28,0.172,154.4,Normal,ACC004430
28,19732.01,0.368,1339.7,Normal,ACC000176
11,16712.12,0.12,431.4,Normal,ACC004045
17,15892.83,0.456,430.4,Normal,ACC004961
7,2457.17,0.417,1281.8,Normal,ACC002932
5,3956.11,0.441,820.2,Normal,ACC004442
6,5755.12,0.302,762.9,Normal,ACC008729
25,3493.19,0.129,883.9,Normal,ACC005199
2,11957.73,0.114,1391.1,Normal,ACC007965
28,11632.69,0.266,536.5,Normal,ACC001444
14,1131.59,0.268,798.3,Normal,ACC001521
7,18528.19,0.493,898.7,Normal,ACC001030
13,15334.84,0.183,341.6,Normal,ACC006292
11,11716.56,0.593,446.7,Normal,ACC002761
25,13288.77,0.178,473.8,Normal,ACC004911
20,1695.33,0.363,775.6,Normal,ACC002504
12,869.44,0.468,395.1,Normal,ACC001290
13,17845.1,0.397,1333.9,Normal,ACC008146
21,7045.81,0.387,799.5,Normal,ACC001619
17,10834.42,0.439,902.5,Normal,ACC001214
26,11091.97,0.541,1403.5,Normal,ACC007685
2,9311.24,0.196,1300.2,Normal,ACC004569
18,5251.39,0.197,783.0,Normal,ACC004618
3,3364.98,0.271,1261.3,Normal,ACC001003
22,19824.51,0.186,1112.0,Normal,ACC006015
18,19394.5,0.428,416.2,Normal,ACC007429
19,8108.33,0.242,1087.5,Normal,ACC003594
27,7147.27,0.26,218.6,Normal,ACC005512
15,1902.7,0.198,516.0,Normal,ACC005946
27,4182.95,0.234,825.4,Normal,ACC002617
15,9837.24,0.214,624.1,Normal,ACC004331
8,13696.96,0.468,440.5,Normal,ACC005472
26,1261.57,0.471,556.8,Normal,ACC005483
15,7983.93,0.572,756.0,Normal,ACC002232
187,32686.27,0.419,1961.3,Legitimate_Awakening,ACC008953
296,34097.15,0.404,1047.3,Legitimate_Awakening,ACC009518
13,12828.64,0.392,635.0,Normal,ACC001066
18,13193.98,0.373,202.2,Normal,ACC000583
16,10592.07,0.298,752.7,Normal,ACC008273
214,16509.03,0.592,445.8,Legitimate_Awakening,ACC009572
5,5502.89,0.21,213.1,Normal,ACC007373
340,36439.44,0.467,1087.2,Legitimate_Awakening,ACC009217
0,4576.22,0.448,1366.4,Normal,ACC001460
7,2318.79,0.582,298.3,Normal,ACC001151
0,18770.51,0.289,996.6,Normal,ACC002321
451,47072.04,0.478,1186.0,Legitimate_Awakening,ACC009614
9,6639.1,0.122,1150.9,Normal,ACC001101
486,56356.29,0.43,1134.4,Legitimate_Awakening,ACC009318
13,16958.8,0.458,252.6,Normal,ACC006975
23,13977.75,0.551,1393.3,Normal,ACC007150
4,3335.05,0.382,1401.6,Normal,ACC006974
20,5994.82,0.413,662.7,Normal,ACC005976
15,10895.87,0.44,196.3,Normal,ACC006641
8,8891.57,0.185,218.5,Normal,ACC000487
11,6866.69,0.568,637.8,Normal,ACC004490
21,17441.62,0.431,692.9,Normal,ACC002049
13,6388.65,0.316,816.8,Normal,ACC003908
1,15294.19,0.439,1118.3,Normal,ACC000540
11,12507.9,0.375,450.7,Normal,ACC004464
6,7982.45,0.37,621.7,Normal,ACC005410
5,9958.92,0.37,1200.2,Normal,ACC001875
13,12511.72,0.194,589.1,Normal,ACC000537
22,15543.08,0.124,1067.6,Normal,ACC004465
24,5449.85,0.215,1261.0,Normal,ACC007315
29,10992.85,0.354,440.9,Normal,ACC001793
13,5200.12,0.349,1366.8,Normal,ACC003818
16,5273.6,0.44,280.1,Normal,ACC002240
17,4207.51,0.511,838.9,Normal,ACC001359
651,57806.89,0.573,319.5,Legitimate_Awakening,ACC009101
444,30216.43,0.311,627.0,Legitimate_Awakening,ACC009068
11,11931.06,0.482,1431.0,Normal,ACC002350
10,16847.59,0.378,1030.8,Normal,ACC003263
4,10161.31,0.556,923.4,Normal,ACC005197
7,574.43,0.441,340.6,Normal,ACC000615
11,3868.72,0.526,304.8,Normal,ACC004955
28,9366.89,0.328,830.6,Normal,ACC007681
18,4962.74,0.195,805.1,Normal,ACC005244
20,8972.5,0.29,1426.4,Normal,ACC007888
24,14879.4,0.191,864.4,Normal,ACC000181
24,14524.39,0.473,799.1,Normal,ACC001937
3,14199.54,0.249,259.1,Normal,ACC000747
18,9016.78,0.332,1161.6,Normal,ACC001574
4,5725.9,0.162,624.4,Normal,ACC004582
17,4431.46,0.322,1414.2,Normal,ACC006985
25,2765.98,0.125,1115.4,Normal,ACC008518
21,2807.73,0.598,1159.2,Normal,ACC002785
1,9328.71,0.518,1389.3,Normal,ACC001776
19,19688.82,0.192,733.0,Normal,ACC007514
7,2826.34,0.151,222.3,Normal,ACC003959
29,19634.27,0.241,702.6,Normal,ACC005756
3,5814.68,0.537,1131.9,Normal,ACC003142
340,54278.16,0.343,1366.9,Legitimate_Awakening,ACC009548
2,7210.12,0.194,1316.5,Normal,ACC007650
9,7932.29,0.566,1064.0,Normal,ACC004814
0,2513.55,0.126,695.6,Normal,ACC002963
479,186783.37,0.966,40.8,Dormant_Mule,ACC009933
15,14448.0,0.53,132.6,Normal,ACC005049
29,15957.72,0.415,321.5,Normal,ACC002331
15,3274.83,0.546,553.9,Normal,ACC007782
13,14782.78,0.103,320.4,Normal,ACC007268
652,28291.61,0.645,1389.9,Legitimate_Awakening,ACC009275
6,6441.24,0.14,651.9,Normal,ACC000475
22,18371.07,0.525,1173.0,Normal,ACC006438
20,13415.8,0.405,1145.5,Normal,ACC008747
6,13684.04,0.365,624.4,Normal,ACC004967
18,5617.74,0.216,512.9,Normal,ACC004732
24,2627.86,0.541,1009.7,Normal,ACC007716
332,47857.25,0.637,1727.7,Legitimate_Awakening,ACC009290
16,5843.48,0.56,221.3,Normal,ACC004953
549,44139.98,0.684,1002.5,Legitimate_Awakening,ACC009846
16,13951.51,0.341,284.1,Normal,ACC002505
4,14547.44,0.451,715.2,Normal,ACC003935
10,1511.68,0.291,639.6,Normal,ACC006649
17,11898.59,0.585,618.7,Normal,ACC001202
0,1636.37,0.561,1274.2,Normal,ACC002003
28,7202.29,0.397,368.4,Normal,ACC003274
25,939.08,0.181,581.3,Normal,ACC007132
5,16614.97,0.352,255.3,Normal,ACC007678
1,13752.21,0.142,892.6,Normal,ACC006500
19,6788.19,0.353,1110.7,Normal,ACC005125
3,18799.42,0.591,1369.9,Normal,ACC006902
0,7176.44,0.233,1420.0,Normal,ACC004282
0,11171.3,0.372,1408.1,Normal,ACC003691
19,6995.2,0.313,303.9,Normal,ACC002404
8,10752.25,0.225,122.7,Normal,ACC000870
1,4900.46,0.206,1166.2,Normal,ACC001846
0,2548.8,0.545,695.1,Normal,ACC006696
28,13888.44,0.283,1117.6,Normal,ACC002529
5,8864.12,0.481,1378.2,Normal,ACC005436
15,12998.49,0.489,739.2,Normal,ACC005304
12,14399.16,0.293,896.8,Normal,ACC000947
11,15301.05,0.356,970.1,Normal,ACC002438
5,4997.65,0.143,534.2,Normal,ACC005187
9,15584.28,0.162,946.7,Normal,ACC001036
0,4912.93,0.109,878.9,Normal,ACC003413
22,10561.69,0.353,1116.0,Normal,ACC006739
18,19038.09,0.321,332.7,Normal,ACC008715
849,51444.68,0.966,39.1,Dormant_Mule,ACC009956
5,18768.49,0.43,129.4,Normal,ACC008580
