tx_id,account_id,incoming_amount,outflow_ratio_24h,dwell_time_mins
TX00468,ACC_A0283,32879.32,0.569,2486.0
TX08220,ACC_N2366,18062.8,0.439,1167.3
TX07072,ACC_N2147,11061.11,0.359,809.4
TX03973,ACC_N1244,2474.88,0.598,838.2
TX01214,ACC_N0951,11804.76,0.126,1340.3
TX06658,ACC_N0904,6721.96,0.374,365.3
TX02606,ACC_N0407,4455.64,0.278,700.7
TX05680,ACC_N0218,17007.94,0.175,1293.3
TX02062,ACC_N3295,5392.36,0.579,939.5
TX09116,ACC_N2040,8755.06,0.455,1092.9
TX08743,ACC_N3015,3621.87,0.557,986.4
TX06014,ACC_N0363,19838.14,0.547,982.3
TX03880,ACC_N3479,7902.19,0.548,1219.8
TX00558,ACC_A0220,18022.89,0.578,1233.2
TX03438,ACC_N0515,16030.81,0.207,1187.3
TX06314,ACC_N0517,8226.59,0.585,167.2
TX00689,ACC_A0313,41509.88,0.307,1805.6
TX05534,ACC_N1315,4440.62,0.276,1164.1
TX02273,ACC_N2875,10438.3,0.434,280.5
TX08162,ACC_N1758,14920.45,0.23,916.9
TX02061,ACC_N1500,18903.67,0.111,1004.8
TX00487,ACC_A0246,48896.08,0.337,1409.7
TX03320,ACC_N3410,9212.28,0.179,397.3
TX04810,ACC_N0920,16927.91,0.198,746.0
TX02528,ACC_N1863,15887.37,0.405,744.8
TX05273,ACC_N2436,-15286.9,0.464,1061.4
TX08651,ACC_N2256,2808.74,0.293,876.6
TX06392,ACC_N2331,12660.74,0.446,1065.4
TX02631,ACC_N1242,1880.43,0.21,471.4
TX01405,ACC_N0479,13902.26,0.322,1073.0
TX02753,ACC_N1320,637.34,0.257,337.6
TX03967,ACC_N2199,8143.96,0.305,1382.2
TX06902,ACC_N3402,12588.01,0.487,483.1
TX07558,ACC_N2811,12972.53,0.423,949.1
TX05033,ACC_N1484,16495.4,0.483,1070.5
TX09105,ACC_N3382,2467.2,0.401,531.3
TX06650,ACC_N0503,19265.83,0.198,968.6
TX06407,ACC_N1552,14427.2,0.166,770.3
TX08405,ACC_N0379,2428.02,0.519,523.9
TX06628,ACC_N2926,7503.66,0.344,519.7
TX03352,ACC_N1546,19840.72,0.59,720.2
TX00921,ACC_A0339,28447.61,0.318,1451.7
TX00257,ACC_A0053,23202.77,0.607,2735.5
TX07846,ACC_N0280,8998.89,0.466,960.1
TX02681,ACC_N1028,9646.67,0.274,561.9
TX07740,ACC_N3055,5765.04,0.402,703.6
TX09198,ACC_N2010,6790.28,0.402,984.1
TX05980,ACC_N1142,2257.22,0.447,934.7
TX03648,ACC_N3461,844.08,0.328,714.6
TX06697,ACC_N2694,16919.47,0.248,970.4
TX00866,ACC_A0326,58538.01,0.495,1784.6
TX07910,ACC_N0525,19008.82,0.416,893.5
TX00747,ACC_A0225,46307.14,0.562,2583.2
TX06856,ACC_N0164,4406.84,0.477,996.5
TX02256,ACC_N2802,12900.26,0.466,1361.6
TX01991,ACC_N0158,2307.94,0.201,1158.8
TX01237,ACC_N1521,4353.96,0.446,274.5
TX04726,ACC_N2172,2078.52,0.334,1320.6
TX09403,ACC_N1237,19597.33,0.541,1105.0
TX03408,ACC_N2039,13307.9,0.547,1245.0
TX01499,ACC_N2519,9001.91,0.347,1124.2
TX06938,ACC_N2138,18683.59,0.328,1024.8
TX08982,ACC_N3332,5652.76,0.543,1122.9
TX04626,ACC_N3296,14660.69,0.388,709.8
TX09709,ACC_N3004,7657.96,0.389,1344.5
TX08755,ACC_N0323,8749.21,0.515,338.6
TX04531,ACC_N0513,7169.44,0.425,226.6
TX02519,ACC_N0079,19405.07,0.204,782.3
TX06402,ACC_N1237,14080.54,0.51,959.7
TX01609,ACC_N1855,19737.98,0.536,591.6
TX05940,ACC_N1467,3780.5,0.498,371.0
TX09802,ACC_N1997,13918.15,0.42,841.1
TX08316,ACC_N2471,4112.73,0.364,184.4
TX09338,ACC_N1211,11574.76,0.505,874.6
TX01540,ACC_N3095,10488.19,0.292,1165.3
TX06985,ACC_N0806,12280.12,0.376,1424.2
TX04001,ACC_N0949,18380.74,0.347,168.9
TX04186,ACC_N3314,19481.19,0.208,523.2
TX07315,ACC_N1822,10861.54,0.383,705.7
TX00262,ACC_A0226,25494.74,0.615,570.4
TX04405,ACC_N0906,18280.52,0.168,624.1
TX09925,ACC_N2391,9322.47,0.275,481.3
TX03091,ACC_N1994,12255.5,0.419,781.9
TX07794,ACC_N0866,2575.73,0.211,326.4
TX03062,ACC_N1258,9520.9,0.356,1386.5
TX03529,ACC_N0508,13691.21,0.11,619.9
TX02748,ACC_N0262,3892.24,0.387,1401.7
TX07550,ACC_N3371,9804.62,0.229,611.3
TX08194,ACC_N0414,12911.18,0.435,665.7
TX03203,ACC_N1988,8679.89,0.324,456.8
TX06952,ACC_N1767,9844.72,0.464,582.6
TX03199,ACC_N0104,7983.56,0.564,223.0
TX08905,ACC_N1765,18359.87,0.551,1080.0
TX04106,ACC_N1451,13295.96,0.137,371.3
TX05297,ACC_N1049,8858.96,0.44,188.5
TX03756,ACC_N1285,6992.65,0.183,1375.4
TX08110,ACC_N1603,12590.62,0.103,210.2
TX03182,ACC_N0990,10643.79,0.448,555.4
TX05126,ACC_N0526,9861.76,0.313,982.1
TX08543,ACC_N2265,11651.71,0.527,812.9
TX02048,ACC_N0383,16990.51,0.448,658.3
TX07603,ACC_N1401,14486.64,0.168,1121.8
TX05523,ACC_N1691,6119.95,0.542,
TX04367,ACC_N0528,3435.62,0.301,1183.3
TX02931,ACC_N1372,13610.79,0.553,884.5
TX01156,ACC_N3303,16179.87,0.372,164.6
TX04687,ACC_N0269,3959.48,0.577,1003.3
TX00182,ACC_A0266,42363.95,0.64,2020.5
TX03311,ACC_N2010,17429.96,0.546,1032.0
TX02351,ACC_N1518,10500.83,0.391,408.3
TX05847,ACC_N1471,18798.05,0.138,1117.0
TX01669,ACC_N3122,10836.22,0.548,656.3
TX06187,ACC_N1658,8154.26,0.308,1335.0
TX07151,ACC_N1784,3376.71,0.125,357.8
TX02632,ACC_N1662,13377.57,0.177,481.1
TX01523,ACC_N1319,16413.54,0.548,501.0
TX05876,ACC_N3049,4316.3,0.47,251.0
TX09235,ACC_N0867,11611.6,0.119,689.2
TX02193,ACC_N0912,13643.74,0.292,1211.8
TX06577,ACC_N1158,8382.29,0.29,483.4
TX03032,ACC_N2233,10791.36,0.435,524.3
TX04304,ACC_N0522,19231.09,0.517,715.7
TX07134,ACC_N0908,17536.62,0.223,325.4
TX07085,ACC_N1663,705.26,0.594,339.2
TX08603,ACC_N0759,15477.69,0.49,626.7
TX03428,ACC_N0111,18989.87,0.369,1285.5
TX07150,ACC_N3068,6995.17,0.336,1308.2
TX02122,ACC_N0988,3519.72,0.576,801.0
TX06719,ACC_N2981,11716.56,0.294,244.4
TX05293,ACC_N2182,11393.14,0.449,1119.7
TX02052,ACC_N0490,7870.88,0.41,692.5
TX08919,ACC_N2129,16965.13,0.507,1306.7
TX04153,ACC_N1862,3326.18,0.294,698.6
TX04887,ACC_N2347,19453.04,0.455,249.2
TX02485,ACC_N1600,1255.76,0.575,
TX05634,ACC_N2230,996.72,0.169,265.1
TX06391,ACC_N3393,19972.66,0.373,1317.0
TX08564,ACC_N0364,5524.3,0.487,168.2
TX05714,ACC_N2993,18665.52,0.507,446.5
TX05719,ACC_N2082,16725.85,0.493,450.3
TX05447,ACC_N3043,2652.99,0.274,751.0
TX03098,ACC_N3368,4302.44,0.355,887.5
TX09119,ACC_N2598,16163.55,0.551,304.2
TX00252,ACC_A0160,54024.67,0.453,2558.8
TX08339,ACC_N3344,3136.94,0.549,542.8
TX02044,ACC_N2237,9770.02,0.472,725.9
TX04242,ACC_N0830,8915.89,0.368,217.5
TX06673,ACC_N2177,17368.72,0.579,1225.6
TX09052,ACC_N0155,1858.62,0.179,618.1
TX09653,ACC_N2238,15156.52,0.393,1247.7
TX02658,ACC_N2833,7340.16,0.336,663.6
TX09130,ACC_N1001,12434.97,0.34,563.9
TX00540,ACC_A0358,36197.95,0.367,1000.3
TX00849,ACC_A0124,48562.67,0.326,1102.4
TX08364,ACC_N3046,9247.96,0.102,487.8
TX07295,ACC_N3492,6156.8,0.333,334.0
TX04569,ACC_N2329,18331.61,0.459,282.9
TX09200,ACC_N2244,1141.7,0.518,634.1
TX04008,ACC_N0397,850.77,0.343,1151.9
TX01372,ACC_N1827,1415.97,0.123,1304.8
TX07590,ACC_N2495,8239.78,0.372,967.1
TX01056,ACC_A0336,47980.45,0.692,
TX05257,ACC_N1426,15798.46,0.156,415.9
TX05207,ACC_N1680,13377.54,0.312,1270.4
TX01200,ACC_N1069,14781.57,0.512,1335.2
TX02562,ACC_N2505,16429.36,0.512,1042.1
TX09468,ACC_N0875,13517.89,0.474,456.2
TX05448,ACC_N0815,8680.52,0.459,1322.5
TX09025,ACC_N3317,11710.76,0.19,1155.1
TX05012,ACC_N0111,5792.07,0.403,1109.6
TX00106,ACC_M047,162181.5,0.978,40.4
TX03856,ACC_N2400,10458.32,0.19,1208.0
TX05894,ACC_N0903,7459.55,0.27,263.3
TX04550,ACC_N2964,10039.98,0.367,492.9
TX09037,ACC_N1778,8649.39,0.332,985.4
TX00870,ACC_A0224,41924.73,0.647,1578.9
TX01290,ACC_N1248,15825.54,0.244,671.5
TX02733,ACC_N0886,17575.86,0.133,196.3
TX01867,ACC_N1447,5288.24,0.438,552.0
TX01292,ACC_N1317,7166.02,0.413,840.9
TX02362,ACC_N3477,3062.54,0.438,825.4
TX00098,ACC_M029,242393.46,0.998,19.9
TX01795,ACC_N0071,16681.51,0.341,903.3
TX02879,ACC_N1963,2941.99,0.299,746.4
TX08435,ACC_N0076,8331.79,0.408,499.3
TX07922,ACC_N1346,3671.75,0.519,374.6
TX06858,ACC_N3463,16134.07,0.472,835.2
TX07929,ACC_N2252,18560.09,0.225,756.3
TX08728,ACC_N0600,17435.88,0.521,334.4
TX09532,ACC_N0886,6060.6,0.17,994.1
TX08346,ACC_N0229,6611.56,0.219,806.5
TX02603,ACC_N3355,2934.97,0.153,801.3
TX05841,ACC_N1883,3499.61,0.357,845.6
TX06213,ACC_N1874,5737.68,0.252,711.1
TX09190,ACC_N2823,7894.63,0.488,986.4
TX03777,ACC_N3219,1562.98,0.399,1412.9
TX01863,ACC_N2521,11107.48,0.53,1399.3
TX05763,ACC_N2052,9930.38,0.106,384.1
TX02288,ACC_N1368,14325.53,0.489,377.0
TX00002,ACC_M054,477821.44,0.962,24.4
TX06008,ACC_N1754,8784.2,0.366,704.0
TX09280,ACC_N3141,9508.99,0.292,453.3
TX07109,ACC_N0195,7717.88,0.505,236.1
TX02855,ACC_N2003,514.58,0.315,847.9
TX01004,ACC_A0336,41942.13,0.448,2426.8
TX06108,ACC_N1252,1111.55,0.453,1337.0
TX09642,ACC_N2561,3437.86,0.204,618.0
TX04161,ACC_N0128,5629.21,0.23,439.1
TX08907,ACC_N1638,4163.85,0.185,194.4
TX02146,ACC_N2237,12613.13,0.344,1353.6
TX04287,ACC_N2182,12350.07,0.234,601.4
TX09193,ACC_N0135,5511.61,0.588,1139.5
TX02439,ACC_N2932,19862.4,0.521,522.1
TX04483,ACC_N2199,15093.04,0.297,716.5
TX09408,ACC_N2587,3496.65,0.268,663.5
TX05707,ACC_N2152,6002.03,0.529,1339.3
TX09875,ACC_N2273,6853.96,0.372,1046.0
TX03254,ACC_N0752,2160.3,0.567,1306.6
TX01166,ACC_N3243,5034.56,0.562,788.1
TX07067,ACC_N2547,10031.2,0.194,470.4
TX00517,ACC_A0149,48115.71,0.515,1310.9
TX09949,ACC_N2237,17087.06,0.384,315.2
TX01112,ACC_A0291,22580.0,0.667,1839.7
TX03386,ACC_N3158,17805.11,0.298,183.6
TX05898,ACC_N0883,2592.37,0.597,1342.8
TX04666,ACC_N1890,2449.71,0.157,1028.6
TX07659,ACC_N2972,16316.57,0.157,1156.9
TX09555,ACC_N0732,5056.97,0.512,471.8
TX05772,ACC_N1789,4766.49,0.137,901.8
TX07833,ACC_N3439,13092.31,0.35,1191.1
TX02232,ACC_N0071,10303.63,0.136,461.9
TX07446,ACC_N0120,15080.94,0.238,1429.4
TX08990,ACC_N2632,10447.7,0.557,431.3
TX05490,ACC_N1419,10007.84,0.42,993.3
TX03737,ACC_N3359,16230.37,0.563,1090.4
TX06218,ACC_N1344,17595.34,0.368,756.1
TX04181,ACC_N1662,2518.5,0.414,1189.4
TX09466,ACC_N1306,6564.7,0.262,696.7
TX04090,ACC_N1734,2107.45,0.56,1102.2
TX05129,ACC_N1538,18785.96,0.356,640.5
TX00930,ACC_A0194,41886.41,0.57,2697.6
TX01875,ACC_N0041,9153.54,0.51,460.3
TX00198,ACC_A0265,17063.76,0.403,784.6
TX01385,ACC_N2262,19776.53,0.316,892.4
TX06404,ACC_N0452,3399.11,0.211,428.8
TX02333,ACC_N1788,17111.0,0.414,1417.0
TX08965,ACC_N0839,11048.96,0.578,1162.5
TX07693,ACC_N3440,10726.76,0.152,171.1
TX01684,ACC_N0777,5562.26,0.57,261.9
TX06289,ACC_N0434,9516.05,0.384,1391.8
TX04984,ACC_N0650,14597.4,0.379,1103.2
TX09154,ACC_N3466,1650.57,0.34,1398.5
TX01642,ACC_N2451,1882.86,0.537,1099.7
TX09819,ACC_N1915,7255.8,0.125,705.8
TX08797,ACC_N2040,9505.23,0.335,1101.1
TX07928,ACC_N0499,17992.42,0.319,681.8
TX09708,ACC_N0720,15375.25,0.548,
TX08407,ACC_N1346,6337.26,0.403,981.3
TX06778,ACC_N2485,2122.44,0.118,1210.4
TX08318,ACC_N3495,8379.57,0.551,607.8
TX06333,ACC_N1630,5283.44,0.112,1095.3
TX07078,ACC_N0624,972.69,0.483,1270.2
TX03503,ACC_N0632,1696.21,0.116,1366.4
TX06009,ACC_N2503,8632.54,0.571,1046.5
TX08004,ACC_N1335,-1845.25,0.551,582.3
TX09418,ACC_N2161,11566.95,0.476,1255.1
TX00375,ACC_A0190,48365.74,0.449,456.4
TX01444,ACC_N1149,7322.16,0.516,553.8
TX03284,ACC_N3203,2145.23,0.293,421.6
TX08187,ACC_N0827,2487.71,0.541,1226.8
TX08989,ACC_N1259,6281.94,0.163,145.7
TX05578,ACC_N0457,11646.91,0.17,1340.9
TX07721,ACC_N2365,1096.81,0.436,454.1
TX04196,ACC_N2718,1926.28,0.163,135.8
TX07802,ACC_N0576,11555.44,0.272,646.9
TX05302,ACC_N1835,3814.8,0.198,945.5
TX09776,ACC_N0697,12424.08,0.475,207.2
TX06412,ACC_N3037,11471.34,0.434,192.9
TX07859,ACC_N2281,9890.02,0.52,988.8
TX09941,ACC_N0106,3636.64,0.217,1364.3
TX05904,ACC_N2405,7645.91,0.211,1068.7
TX02522,ACC_N2811,11657.35,0.161,1309.8
TX06124,ACC_N3207,5181.36,0.299,284.2
TX02727,ACC_N2912,-9260.85,0.343,1336.6
TX02555,ACC_N0507,5865.82,0.502,913.3
TX02948,ACC_N0431,10961.17,0.234,362.7
TX06452,ACC_N2158,552.67,0.589,297.9
TX09773,ACC_N1696,2621.34,0.26,164.9
TX07352,ACC_N1071,-3283.08,0.291,870.8
TX09603,ACC_N0604,6044.23,0.386,1405.3
TX02820,ACC_N1923,7195.87,0.434,1143.1
TX07115,ACC_N1316,9864.95,0.295,899.8
TX02438,ACC_N0218,12894.82,0.285,406.1
TX03905,ACC_N3111,6460.15,0.54,610.7
TX04504,ACC_N3044,16699.96,0.419,172.0
TX04852,ACC_N0401,7983.93,0.489,626.6
TX03539,ACC_N3166,12918.02,0.146,336.5
TX07567,ACC_N3269,19002.49,0.437,1188.0
TX09273,ACC_N1562,8745.97,0.189,206.9
TX03619,ACC_N1464,8863.92,0.543,479.8
TX00176,ACC_A0375,50310.07,0.662,591.4
TX03166,ACC_N0177,524.73,0.415,1010.3
TX04199,ACC_N2729,17808.36,0.594,739.4
TX04959,ACC_N0537,11417.18,0.288,1010.5
TX02986,ACC_N1961,6289.47,0.363,281.6
TX02334,ACC_N0720,16435.23,0.529,136.4
TX07209,ACC_N1633,14660.55,0.254,923.1
TX02788,ACC_N2592,12417.26,0.413,812.4
TX02246,ACC_N0267,9406.25,0.361,1228.8
TX02590,ACC_N2823,10523.46,0.446,342.9
TX09325,ACC_N0358,15773.91,0.149,955.1
TX08256,ACC_N2356,18140.79,0.6,129.1
TX05159,ACC_N2761,4999.32,0.203,691.5
TX04918,ACC_N1798,14019.3,0.426,791.6
TX00583,ACC_A0022,56198.12,0.381,2273.0
TX03709,ACC_N2769,17142.58,0.408,1322.5
